Date,CS_Open,CS_Low,CS_High,CS_Close,CS_Adjusted_Close,CD_Open,CD_Low,CD_High,CD_Close,CD_Adjusted_Close,CST_Open,CST_Low,CST_High,CST_Close,CST_Adjusted_Close,E_Open,E_Low,E_High,E_Close,E_Adjusted Close,F_Open,F_Low,F_High,F_Close,F_Adjusted_Close,HC_Open,HC_Low,HC_High,HC_Close,HC_Adjusted_Close,I_Open,I_Low,I_High,I_Close,I_Adjusted_Close,IT_Open,IT_Low,IT_High,IT_Close,IT_Adjusted_Close,M_Open,M_Low,M_High,M_Close,M_Adjusted_Close,RE_Open,RE_Low,RE_High,RE_Close,RE_Adjusted_Close,U_Open,U_Low,U_High,U_Close,U_Adjusted_Close
1/2/2019,3.949185703,3.844217747,4.122239042,4.092812777,2.67952443,2.368068705,2.317053827,2.521840529,2.487858674,2.203100269,3.152347721,3.063741783,3.308687315,3.252594369,1.825517782,4.818745566,4.796332572,5.159203006,5.109788886,3.964242113,2.517977652,2.487087508,2.732627117,2.67063389,2.103759349,2.875410152,2.734594594,3.034031447,2.923372746,1.488088942,3.338112946,3.276995522,3.559944186,3.531552773,2.585966746,1.412795513,1.392477597,1.589077118,1.540789968,1.138778241,3.313367943,3.244524371,3.507401351,3.435576527,2.529486988,2.156137116,2.0165191,2.209622536,2.13398229,1.22887373,2.718826406,2.352505195,2.729883431,2.498745115,0.266714721
1/3/2019,4.097519809,3.980303221,4.217321455,4.055207279,2.639127278,2.438310554,2.29595719,2.487256771,2.311150613,2.03114137,3.212570356,3.09395249,3.350512237,3.139602737,1.726918931,5.126600861,4.922046769,5.157853598,5.026584619,3.8941716,2.605425098,2.402899251,2.634231679,2.426230174,1.890381045,2.673687712,2.274686522,2.747343049,2.348681078,0.993343503,3.447800332,3.178544068,3.487109579,3.227361923,2.311459318,1.403268363,1.208047985,1.430376462,1.223764476,0.85749324,3.411523046,3.137331007,3.473337161,3.195054408,2.309554998,2.125775217,2.103126946,2.339309933,2.196748641,1.281940574,2.499868053,2.387012841,2.690425624,2.506002075,0.272604925
1/4/2019,4.181761138,4.114184478,4.398421104,4.33561351,2.89777167,2.403589808,2.369620095,2.581717078,2.530719797,2.244159236,3.229572102,3.183221683,3.502731686,3.47078963,2.012475462,5.155901561,5.101444748,5.33100766,5.307224177,4.130948637,2.587935906,2.54825,2.754319795,2.70960866,2.153829036,2.502328144,2.476538029,2.821450768,2.715547681,1.323371641,3.400543568,3.356227119,3.641326042,3.611131294,2.659080633,1.362549054,1.316858661,1.58801663,1.550217144,1.167529068,3.330832062,3.271970934,3.627326801,3.582044627,2.661339118,2.236589543,2.185636309,2.370350868,2.30039322,1.374767647,2.432406386,2.415974344,2.769516967,2.743934704,0.479429713
1/7/2019,4.425875251,4.359129136,4.618803201,4.52859222,3.072348296,2.573598164,2.542652105,2.762396867,2.699647569,2.408627095,3.423485312,3.281792254,3.527002562,3.368537042,1.927185237,5.317438692,5.21542485,5.452568438,5.359124256,4.174724194,2.709014086,2.642332989,2.790009164,2.719599485,2.164506434,2.711058339,2.600606811,2.892912667,2.73245413,1.337791928,3.62473504,3.501204286,3.725082697,3.659800089,2.704316934,1.588432095,1.54015895,1.714793933,1.647211624,1.261703643,3.563991012,3.518540988,3.788354215,3.663697047,2.735678138,2.305012631,2.259998538,2.428054245,2.350122084,1.419313227,2.65010635,2.506124631,2.766285687,2.616774318,0.369021934
1/8/2019,4.650191547,4.534640823,4.777782341,4.721046031,3.235863513,2.785434597,2.638782036,2.830862834,2.736395975,2.443842425,3.440981791,3.364704514,3.54150195,3.491370232,2.034206782,5.450782811,5.328251242,5.480259951,5.399270646,4.208716985,2.784813508,2.60997152,2.811295363,2.698290978,2.144567519,2.83465695,2.666498293,2.94386348,2.854239057,1.448805043,3.765424871,3.609755795,3.825173413,3.704287059,2.744191086,1.735706682,1.644823891,1.793475503,1.729641758,1.340997646,3.711238653,3.551374454,3.781947046,3.666699106,2.736501626,2.389134915,2.345352526,2.501849886,2.478732402,1.534689184,2.616814897,2.52942098,2.844134394,2.817866093,0.543386681
1/9/2019,4.634658997,4.470023659,4.690981012,4.556888246,3.193347976,2.742986955,2.689090497,2.815250987,2.746780709,2.453986996,3.506138475,3.385913929,3.585153882,3.439991356,1.987368952,5.48164595,5.383386664,5.581356581,5.545289642,4.333668094,2.740792393,2.668916507,2.792771266,2.737629248,2.181207351,2.861486968,2.710017076,2.92865257,2.763541993,1.368634105,3.768626715,3.695261093,3.847549518,3.764084592,2.799411272,1.792599548,1.70486614,1.833564731,1.759535539,1.371279734,3.651626957,3.484916273,3.704146701,3.619498413,2.695855936,2.486661172,2.32063288,2.527656583,2.445801309,1.504388777,2.779347223,2.626822844,2.892958515,2.710849395,0.450004225
1/10/2019,4.565842335,4.47615091,4.696713913,4.665696219,3.288951701,2.69646419,2.622768388,2.777959477,2.744796136,2.451258094,3.437538076,3.361052047,3.541617909,3.499160267,2.039298842,5.489715001,5.403850012,5.59125903,5.580721123,4.364723731,2.713830308,2.666698646,2.781527969,2.754691188,2.197144055,2.724609294,2.503460519,2.858238857,2.726822185,1.33866457,3.693955599,3.635779014,3.913829795,3.900214208,2.922429964,1.69006168,1.638681273,1.774308173,1.765602167,1.377938846,3.578772411,3.509522019,3.758131213,3.719355905,2.780538939,2.427090539,2.397579491,2.627476031,2.618570889,1.658840338,2.742022599,2.589883863,2.989430871,2.90112938,0.616464675
1/11/2019,4.686238463,4.62111011,4.821330757,4.77134294,3.378702075,2.77731354,2.754456881,2.896939199,2.837624805,2.538258029,3.538421543,3.418048694,3.593363536,3.545055174,2.077282907,5.517364912,5.413039377,5.557693468,5.481252468,4.279596428,2.710665918,2.657878527,2.775587609,2.759586027,2.201429522,2.694444737,2.603798741,2.789410753,2.769367541,1.374342845,3.815659682,3.735949272,3.888360687,3.870894449,2.896702981,1.733112197,1.689181043,1.792062821,1.76710099,1.378333457,3.641178461,3.582643673,3.740751579,3.682973602,2.744564124,2.599193222,2.515626312,2.650329064,2.626253377,1.665146328,2.836155904,2.584047461,2.901353274,2.720101596,0.459545668
1/14/2019,4.700759936,4.633637239,4.761874763,4.714356321,3.327732239,2.788510874,2.736041736,2.868036242,2.803625523,2.504792415,3.506215262,3.415602186,3.558702798,3.47115449,2.011731414,5.404237672,5.372835558,5.541051991,5.498717268,4.294261536,2.691813902,2.668850173,2.84867303,2.808911528,2.245508579,2.692235932,2.535413059,2.728245281,2.598427966,1.22069539,3.791616104,3.734057885,3.926316577,3.873025802,2.898922717,1.6962279,1.665905597,1.750911812,1.707577645,1.321496299,3.607409755,3.519361034,3.687891618,3.586107164,2.659674009,2.596618326,2.546172398,2.669117002,2.613761592,1.655909554,2.607330519,2.213953392,2.621292839,2.402811826,0.18367932
1/15/2019,4.744885186,4.670854961,4.855453434,4.801319774,3.414557015,2.823446932,2.756189606,2.910944042,2.859924338,2.561289924,3.46320511,3.441337548,3.637193698,3.605838247,2.128655248,5.546993712,5.46181493,5.60117905,5.5002128,4.295713999,2.784409004,2.728847268,2.92796514,2.868272363,2.300964246,2.615498215,2.56885045,2.902497941,2.845881464,1.444621204,3.825276094,3.707100572,3.887813974,3.789542465,2.824592582,1.720265137,1.672755576,1.839761531,1.824828034,1.432004498,3.528318451,3.451622714,3.619227358,3.572334964,2.643963344,2.632611832,2.591056831,2.729451393,2.714735036,1.746240005,2.350013098,2.332805701,2.719783692,2.685159239,0.429958364
1/16/2019,4.7789841,4.648883633,4.830326196,4.686913127,3.312194322,2.853250393,2.782018786,2.918944176,2.833990651,2.537143046,3.596068383,3.491655164,3.657235375,3.562606973,2.088887845,5.481641682,5.438827948,5.569414829,5.511275259,4.307852953,3.010433155,2.957345018,3.109141225,3.030397644,2.450512933,2.845939304,2.732696197,2.972002757,2.772850008,1.380784595,3.779375881,3.726109524,3.875736789,3.789249303,2.824404059,1.848298898,1.789780122,1.885130335,1.822886656,1.430175635,3.574501692,3.522745029,3.669602449,3.597690135,2.668493096,2.703485564,2.656526117,2.776373293,2.734004311,1.763203599,2.624549727,2.519170448,2.766316637,2.742940794,0.480344904
1/17/2019,4.682054148,4.583209151,4.765674449,4.696785671,3.322776156,2.809016107,2.796622731,2.914911854,2.897095769,2.5970205,3.512786237,3.488018785,3.668344611,3.620370744,2.151128352,5.46361876,5.418745588,5.596935845,5.562180498,4.351216246,3.024197121,2.968642915,3.125778825,3.081072633,2.497714756,2.73318534,2.68713811,2.957657592,2.907350794,1.501300572,3.73662622,3.70406713,4.025434313,3.955207986,2.974741046,1.806695488,1.783436717,1.906754145,1.858888003,1.464194065,3.5866782,3.567496034,3.805921641,3.765817331,2.82303175,2.72237786,2.692400324,2.806810098,2.775654128,1.800055219,2.731354872,2.686797618,2.878180358,2.835671133,0.561525592
1/18/2019,4.734481821,4.625312979,4.821750613,4.709011434,3.324431662,2.947620649,2.824497777,2.97988427,2.906394769,2.603732663,3.698682797,3.638895284,3.796613572,3.746141112,2.259874821,5.655144007,5.552836678,5.719627876,5.686909765,4.456815817,3.11477854,3.037195885,3.244397431,3.213186644,2.623160239,3.002974116,2.872637649,3.104816134,3.031266474,1.614816278,4.067262581,3.980398283,4.209892219,4.138947675,3.150322139,1.926225154,1.858813256,2.004407336,1.970394737,1.569150499,3.798470329,3.732335495,3.994471551,3.893090917,2.937967803,2.812772632,2.70880014,2.853869658,2.785503189,1.807406207,2.846871638,2.697225831,2.896433307,2.79628997,0.527161046
1/22/2019,4.684616674,4.489799526,4.731548778,4.581607898,3.207422596,2.859884034,2.719479629,2.942270564,2.790341247,2.486614008,3.72068032,3.528660536,3.772165227,3.654994535,2.181618245,5.605889863,5.446282472,5.642159931,5.463650931,4.266833783,3.138414305,3.025889223,3.199326479,3.084822833,2.502554043,2.918316132,2.786075546,3.012500408,2.925995832,1.519191847,4.062562142,3.877163012,4.100064171,3.964233375,2.992640375,1.921925275,1.821718526,1.98271358,1.88652459,1.48807204,3.884485874,3.738774554,3.932526369,3.843197801,2.890384377,2.788911633,2.658314378,2.858249023,2.746444958,1.772947365,2.796001992,2.657072249,2.941232259,2.841262117,0.567156915
1/23/2019,4.613560391,4.498685309,4.718193218,4.618888904,3.228829367,2.82072537,2.703884527,2.856509813,2.787587634,2.483094357,3.788787493,3.691295198,3.927972153,3.841956461,2.346614002,5.495776811,5.373624169,5.536272432,5.418056273,4.228578964,3.105686447,2.987364126,3.142893126,3.089456291,2.507669133,2.904882263,2.782779184,2.980110928,2.909659336,1.504702755,4.022703129,3.868679822,4.089165844,3.987434127,3.013133799,1.933620146,1.85303551,2.003998979,1.931506423,1.528441241,3.900183782,3.630193669,3.938966444,3.739503041,2.792600626,2.751107573,2.652407034,2.800120936,2.712253652,1.743325394,2.830149229,2.810301966,3.030828351,2.99961377,0.70494353
1/24/2019,4.591248158,4.446885989,4.658622574,4.573083576,3.197565954,2.807616818,2.771092385,2.875893115,2.848632048,2.541608505,3.804951773,3.567675199,3.823806889,3.682828101,2.211668941,5.408412835,5.345765228,5.49806782,5.41054176,4.222381937,3.051289865,3.028221767,3.138028241,3.10459438,2.521513839,2.812775285,2.481413828,2.91984466,2.652952293,1.278290702,3.990714613,3.940285081,4.07792838,4.026156819,3.048393381,1.947422164,1.860516357,1.980649359,1.914725099,1.510667059,3.717134138,3.692615484,3.816906906,3.77242218,2.821756794,2.669753905,2.623878787,2.80247875,2.774034957,1.797598025,3.017828294,2.828101965,3.114895874,3.067817073,0.764626477
1/25/2019,4.6209941,4.539281017,4.763237201,4.620696884,3.250785937,2.922621531,2.813620879,2.965076912,2.858161258,2.553992296,3.748426326,3.6414693,3.841900557,3.704666281,2.226541909,5.482987379,5.448517406,5.588936912,5.518386552,4.314218307,3.170406255,3.117026671,3.263865469,3.172012846,2.584451962,2.760762571,2.523996378,2.803832727,2.633569786,1.260552209,4.143912977,4.082189827,4.234591332,4.162737102,3.171267798,1.999043983,1.948060981,2.073014935,2.013494279,1.604769758,3.898712867,3.840903179,4.000065989,3.900368738,2.937654854,2.798897234,2.763994119,2.920410468,2.887668171,1.897010454,2.997857818,2.830363252,3.146268183,2.880011219,0.600557132
1/28/2019,4.573693424,4.417901372,4.612203217,4.526069385,3.170194526,2.79314182,2.716254677,2.849401583,2.824816854,2.521382613,3.660736959,3.574515264,3.769033977,3.740771377,2.254812124,5.417109804,5.359449939,5.477960491,5.445597371,4.252059148,3.117405594,3.073875045,3.184532871,3.159209383,2.570958098,2.565688464,2.41525668,2.647115222,2.519608522,1.157346637,3.949297752,3.817145587,4.005698728,3.949158577,2.977704575,1.942540081,1.831911705,1.94861784,1.905839977,1.501380916,3.82752052,3.77041349,3.92342023,3.892510122,2.932321262,2.862905289,2.802823228,2.983416794,2.974567925,1.974639328,2.873718756,2.709895073,2.958574849,2.794080999,0.526146126
1/29/2019,4.427657182,4.273042994,4.500293381,4.338837241,3.001362717,2.801971042,2.69394196,2.83627415,2.755430558,2.453503717,3.749477649,3.678328927,3.821568521,3.752592508,2.265126713,5.496995645,5.43513062,5.553402291,5.487496082,4.287391211,3.155854985,3.120526522,3.217217918,3.162626205,2.575116414,2.516609582,2.452349487,2.700313088,2.623080701,1.247957781,3.942538993,3.911327142,4.174609355,4.085440663,3.099716607,1.914309429,1.816766325,1.946776836,1.862319669,1.457552411,3.895153012,3.86772545,4.047427355,4.00527921,3.033664004,2.974446608,2.943332038,3.05581492,3.047214263,2.039323704,2.862452592,2.713719493,2.94426128,2.863205805,0.586313072
1/30/2019,4.276228741,4.087931569,4.424126039,4.315296437,3.00261509,2.800812844,2.710860584,2.968462513,2.860250562,2.557384769,3.757016024,3.720510758,3.872550628,3.817304722,2.323113376,5.537084791,5.465669375,5.603056648,5.56100029,4.349280292,3.186422632,3.125525286,3.290842969,3.232205335,2.642916558,2.844629385,2.773057835,3.046326396,2.960370418,1.563537132,4.161374792,3.986208561,4.276752919,4.216163654,3.218947553,1.936098305,1.903512811,2.072220973,2.045749309,1.632917915,4.054071978,3.919638681,4.123025556,4.024481606,3.050819577,3.037697574,3.024324511,3.186441269,3.149979772,2.129936393,2.79904612,2.785943694,3.068084483,2.977924834,0.68594057
1/31/2019,4.352075349,4.269604232,4.546017931,4.508005271,3.166941149,2.847976044,2.763934328,2.937789782,2.857557298,2.558261904,3.820059681,3.764802612,4.078885307,4.001232668,2.481548619,5.622924773,5.546000978,5.719084888,5.644368428,4.419996486,3.166437717,3.081815209,3.233277334,3.196748247,2.612044011,2.936056273,2.87311618,3.219330163,3.101515462,1.703586717,4.201771215,4.124277133,4.311642095,4.258269589,3.256895811,1.981396619,1.940225849,2.106124656,2.061963218,1.646529577,3.996852066,3.890699187,4.184626965,4.107158512,3.126467271,3.119795457,3.05422898,3.331288952,3.282327177,2.258130448,2.975116871,2.870005815,3.384392614,3.311353124,0.977254382
2/1/2019,4.530817226,4.415284412,4.601232346,4.454117256,3.120008461,2.798237183,2.708109388,2.8682588,2.751400131,2.454999584,4.03353748,3.904804357,4.095483569,3.992350165,2.476237382,5.714551227,5.615224205,5.802207656,5.695904976,4.461644362,3.203435979,3.166121212,3.284234043,3.226663598,2.640730135,3.217390859,3.113810102,3.39282324,3.283522437,1.865305741,4.364290242,4.199630029,4.412247717,4.250255031,3.250960876,2.073903454,2.024838382,2.203810018,2.169047645,1.75192924,4.136320317,4.014942839,4.220688326,4.109722529,3.134605541,3.292797671,3.124646592,3.401516713,3.256843184,2.235113002,3.308662687,3.097636538,3.402060073,3.303829286,0.9704193
2/4/2019,4.476001115,4.351571761,4.549369376,4.454784496,3.135523263,2.75573604,2.70506152,2.836035684,2.815204916,2.517483502,3.978207606,3.896265651,4.078310421,4.038549915,2.517349432,5.646444935,5.577867413,5.749919251,5.725636846,4.488686177,3.22248227,3.167168841,3.279012043,3.262870661,2.67305548,3.288707968,3.108324051,3.357447447,3.292891982,1.873096174,4.245853609,4.177298411,4.418831455,4.409296191,3.396548572,2.161019723,2.138373918,2.265742137,2.244255724,1.825273593,4.109023147,4.035958387,4.164611712,4.147702218,3.169137743,3.24185525,3.120498976,3.315429858,3.271744565,2.248167292,3.224829252,3.12508453,3.452692059,3.430111317,1.08046617
2/5/2019,4.485021636,4.411308142,4.548059056,4.505479422,3.184501112,2.836885288,2.79549944,2.905117843,2.857924321,2.559457859,4.039308957,3.960360493,4.076417948,4.012146369,2.494494662,5.720703186,5.667984718,5.768157207,5.718699739,4.481561101,3.274006468,3.19823808,3.294790263,3.255419168,2.666098291,3.35440196,3.248183502,3.459721802,3.285170186,1.86832575,4.433826909,4.372586781,4.497642322,4.462136797,3.444587169,2.269607404,2.238054047,2.317316327,2.286335155,1.866884628,4.175802073,4.111865791,4.256304596,4.241429452,3.254633197,3.278461699,3.123089258,3.356154316,3.340044536,2.308404347,3.404728959,3.296115868,3.503974537,3.442310703,1.090368055
2/6/2019,4.55368896,4.390785071,4.58696443,4.437050258,3.121752963,2.894603632,2.806407109,2.942999648,2.845967156,2.547741716,3.984921037,3.949865355,4.069885843,4.02005415,2.502451408,5.671919985,5.624231628,5.725264938,5.642620402,4.416983257,3.198789301,3.135734997,3.257053149,3.185568758,2.600870228,3.25620869,3.207795279,3.416708534,3.376747952,1.950813849,4.461071216,4.412021179,4.544126218,4.47522914,3.45580253,2.268988954,2.189045422,2.309360597,2.267741249,1.847491443,4.210203445,4.111356187,4.300785747,4.195276986,3.2081889,3.316339909,3.228950031,3.356184706,3.267324747,2.242222041,3.399525925,3.318016516,3.495032929,3.421725644,1.072884456
2/7/2019,4.308838917,4.136340565,4.340217015,4.273964954,2.96378353,2.790357029,2.668841911,2.806186195,2.736823041,2.442319469,4.062518908,3.905054781,4.122041291,4.031020042,2.510379115,5.602318891,5.382524835,5.642876443,5.446451914,4.249801278,3.141081551,3.015535299,3.182063819,3.095359296,2.515603928,3.289905079,3.126276988,3.327705053,3.237278099,1.826839487,4.400470217,4.291367873,4.472672069,4.381830963,3.371361137,2.192510357,2.09866125,2.236352743,2.150933826,1.737002633,4.151756538,3.983299487,4.198554199,4.076769974,3.102316968,3.24500371,3.167685549,3.36649603,3.32241612,2.291644661,3.401841958,3.294651797,3.605338071,3.602789161,1.262011029
2/8/2019,4.214373527,4.144017472,4.328841734,4.302383453,2.985598947,2.686798591,2.633154283,2.728429933,2.70193261,2.408077468,4.011615293,3.904903749,4.149336386,4.111896917,2.574257188,5.481538645,5.275708462,5.512262337,5.435463589,4.260972555,3.055801445,2.948234012,3.090058698,3.063070577,2.485493734,3.191852267,3.162303776,3.348079724,3.34309605,1.922399537,4.335493236,4.221933443,4.389645914,4.36359393,3.353614061,2.077293226,2.063742477,2.206641941,2.203848841,1.788624028,4.032641527,3.921692079,4.103411143,4.067493753,3.096077404,3.287209827,3.23766813,3.380563526,3.336681038,2.306219676,3.56875425,3.499968371,3.716039803,3.708922308,1.354921895
2/11/2019,4.33464892,4.232615437,4.393262637,4.292061405,2.970704778,2.708046974,2.671600658,2.7701217,2.70799866,2.414772981,4.105828156,4.058916518,4.177033977,4.119153842,2.583495118,5.384784682,5.368357904,5.54491711,5.505506373,4.320825381,3.096162362,3.04478959,3.135630548,3.10184753,2.523833187,3.370177628,3.173746871,3.392523203,3.26602659,1.854806491,4.398140113,4.33456689,4.456708719,4.402693897,3.389780306,2.247614247,2.201564372,2.32282254,2.261397524,1.84358011,4.10088768,4.026695141,4.180128762,4.130518005,3.156343509,3.347861395,3.294440459,3.410438466,3.360703933,2.328617484,3.679181237,3.629568377,3.80134688,3.708840938,1.355022636
2/12/2019,4.358444362,4.301545613,4.457886986,4.375950079,3.048247602,2.739073625,2.698495301,2.812692683,2.757982569,2.46430847,4.16682671,4.111765582,4.300855173,4.2597113,2.704365689,5.616345819,5.550281854,5.67301903,5.594546614,4.396150721,3.177304275,3.161547673,3.260299386,3.228062293,2.641942623,3.330919506,3.24157116,3.508385515,3.438111724,2.010398337,4.485110728,4.456895268,4.659813315,4.63544521,3.600098725,2.278482394,2.245215767,2.380676341,2.344029149,1.923092048,4.209483692,4.154072865,4.419030194,4.374319035,3.376590571,3.370057933,3.22884902,3.391350356,3.286287612,2.263423008,3.699359249,3.550689172,3.829232822,3.733671489,1.409960364
2/13/2019,4.368393162,4.311011157,4.470247984,4.393322615,3.064061022,2.832634803,2.785060564,2.895629672,2.852489066,2.557812876,4.283304155,4.250808432,4.368630194,4.332038601,2.766050835,5.619744224,5.605695733,5.771924201,5.725229797,4.506921141,3.258280748,3.22503596,3.331325753,3.244977759,2.65703141,3.450132805,3.356984584,3.581808671,3.520415978,2.083411573,4.683725807,4.631468396,4.77867189,4.71177784,3.668194587,2.36797567,2.278681091,2.407185257,2.314732232,1.896005277,4.432053056,4.312195696,4.482789641,4.343509899,3.348896422,3.238985307,3.196803445,3.349188573,3.299037596,2.273981215,3.658117768,3.531543536,3.716473665,3.65107442,1.337033283
2/14/2019,4.360225189,4.292879065,4.466155348,4.385237454,3.061919376,2.826491861,2.769600321,2.909115739,2.868006614,2.571409993,4.081016126,3.960595514,4.19206923,4.056335653,2.535571914,5.642364355,5.616277923,5.778083938,5.718599153,4.501810331,3.183185359,3.081332998,3.216491745,3.145464048,2.563129651,3.522609235,3.43537791,3.616487347,3.522026225,2.084861298,4.619721553,4.525229275,4.666763292,4.572026436,3.563216526,2.378084523,2.303678049,2.459597357,2.359907682,1.938715785,4.214370211,3.879912079,4.312306954,4.090300962,3.123956937,3.365978809,3.266130475,3.470495986,3.433342261,2.398801748,3.671359594,3.560966187,3.757433396,3.62321596,1.312806557
2/15/2019,4.454435894,4.411465968,4.604986737,4.554275832,3.2019677,2.922261564,2.87890151,2.995724645,2.961747443,2.659697642,4.160082804,4.062394111,4.263075893,4.157097481,2.62030818,5.794509459,5.751564041,5.883564321,5.848590227,4.628736208,3.244280235,3.224039124,3.352385923,3.325679061,2.729764726,3.656361016,3.578045751,3.745725379,3.701797498,2.246417443,4.620415063,4.585414064,4.737294106,4.732444514,3.706507839,2.431717164,2.358387739,2.491623303,2.455095525,2.02599149,4.187872819,4.074520519,4.302356043,4.169589426,3.19558895,3.481397321,3.416707589,3.503135243,3.488315532,2.448203864,3.676032352,3.592957144,3.752357835,3.655346545,1.366568434
2/19/2019,4.547922183,4.512712437,4.68083305,4.632406382,3.273038908,2.957744347,2.918382606,3.044307917,2.976737805,2.674708316,4.169945423,4.097109754,4.301494168,4.214359854,2.671849515,5.789921616,5.765364713,5.893876488,5.860642431,4.638270912,3.292074229,3.238738422,3.349092899,3.309876522,2.714723776,3.686861697,3.598608761,3.766283364,3.639158286,2.189732163,4.685142476,4.649100641,4.767646367,4.710513648,3.687112577,2.434161976,2.42223414,2.517097931,2.47898741,2.048509061,4.127486304,4.009155818,4.239296856,4.087928624,3.120258408,3.479391868,3.431040807,3.561542444,3.514872485,2.473469523,3.614527336,3.567361779,3.784210619,3.749357761,1.449148113
2/20/2019,4.641813939,4.568483298,4.726386812,4.660967908,3.292794721,2.997549199,2.961634809,3.076184113,3.044003008,2.739357026,4.157456688,4.052814318,4.284309588,4.157297483,2.617950525,5.857841805,5.783449489,5.934328969,5.857981933,4.636120536,3.319666754,3.289277993,3.38048683,3.369950894,2.770979014,3.631205103,3.55376468,3.730855686,3.66270614,2.212491903,4.731129556,4.687957304,4.839196686,4.814748407,3.78258685,2.476549864,2.398679728,2.508966015,2.457148405,2.030074072,4.078227491,4.060215031,4.329349481,4.210300269,3.25347916,3.499815897,3.372431347,3.551253791,3.456447995,2.421994643,3.737482507,3.647328876,3.897367867,3.83907207,1.527809652
2/21/2019,4.64335587,4.563442307,4.771903068,4.665940943,3.293967575,3.04184392,2.97502504,3.110145399,3.045733266,2.739055168,4.137142279,4.037384463,4.244070731,4.172724863,2.630970524,5.827063824,5.683600422,5.881568748,5.725606837,4.523387783,3.357594719,3.303800508,3.396217421,3.344815539,2.747138429,3.584628141,3.50365633,3.766148474,3.59977314,2.15611221,4.785001083,4.699029214,4.832650348,4.737911379,3.723554665,2.434834817,2.387128224,2.504724096,2.456743198,2.030916021,4.172047188,4.067291206,4.231274173,4.129592848,3.193950796,3.397476692,3.320328672,3.506362025,3.472809978,2.434887786,3.755301635,3.726316061,4.045959693,4.01703142,1.683412669
